"2","0x7a483a6ed0a0629b75e283dfb5cd16b822042b3131b8a0bbe93b62cc67960af0","0x696d746f6b656e","0.5","3000"
"3","0xbb13fc83178bd63d5c20469d4d87f415dfa84b2e742b5cf5c250ce628d1fb874","0x696d746f6b656e","2","12000"
"4","0x0b89b1d5c63dd861838d59c10bbcf0b055e9caef8048c9509ced443f60987825","0x696d746f6b656e","10","60000"
"5","0xae9824361b991b6098c43aa84494b8c52b7f74f8cbee54e0ce7f95fc30c91b3d","0x696d746f6b656e","1.73","10380.000000000002"
"6","0x1303b0fa0e87d5fefd1a68b79a276bc93f32bf4c876cdbf275a52b9dcff352fa","0x696d746f6b656e","5.4","32400"
"7","0x88c68e9886b4204c6a1573ae121bd20314db55303fd05b822265e88f37ce6af2","0x696d746f6b656e","0.45","2700"
"8","0x78db9382b2dfa96958efa5519aaf541e676bd9c562a197bfc862fc67a473d64c","0x696d746f6b656e","20","120000"
"9","0xbb057eee4ef02cbcd0c6c9629e6249f6bb54cea19a0d6015f347779b794aefda","0x696d746f6b656e","4.618","27708"
"11","0xb3e8e57280cb5ed630906815a7d7675e43358a52c387c5bf3d0351a8fb8a5c03","0x696d746f6b656e","7","41999.99999999999"
"12","0x22938eff47045bac2e40316318c1d5771cbd92356a0d3943d3f3e4a4e3087105","0x696d746f6b656e","9.995","59970.00000000001"
"13","0x53f22240f97c2435f3a9f728c9658fcfb6b06e09ff88a707e4b0f84418d9a9c4","0x696d746f6b656e","4","24000"
"14","0x5d3b0a58763ea4521958e40a113c9e38ee8e860dee95260620044d3ee981ae7b","0x696d746f6b656e","1","6000"
"15","0xcf374278d890218541b6751a17a71fe466225b7472440625933b2cd49e189352","0x696d746f6b656e","10.2","61199.99999999999"
"16","0xe4bb922227d35f77039cff86f7f61bf44669232990e5e37e00fe77bdc861fb20","0x696d746f6b656e","2","12000"
"18","0x1a65362c5b00faf18a39c5d4c6921811b6941ab6c35f21e85f148d295894f0c4","0x696d746f6b656e","15.3","91800"
"19","0xd0ea0de3a225e3bd5ec87e8cd72e76e4058cdc2c44fbe01a71e6d186590a6cba","0x696d746f6b656e","3","18000"
"20","0xdda3d345f7d3041933a5c81d22f8a660087b1289d4aeb0b8f5b698174b35bbd4","0x696d746f6b656e","5","30000"
"22","0x2971f991c1e9b6f211769b1e95b718175397879dcc6b929e6566d1db58830b41","0x696d746f6b656e","4","24000"
"23","0x52fb65aa71bb4cc429125f9636ad8834aadfb34f4bf9019011b333befd8b7c59","0x696d746f6b656e","7","41999.99999999999"
"24","0x87e2bcfd56d9446678b60dc1350d728b7ae511a1e19c271028de43529031648d","0x696d746f6b656e","3.9","23399.999999999996"
"25","0x5d852714cacfb2906feff631e8c2202a62d1ae1f9a6617f3ba71a85b087e36eb","0x696d746f6b656e","2","12000"
"26","0xcc9c31be69948f444c4ea9e2abd6d1ac74fba74d406d57859371c2c93730330e","0x696d746f6b656e","2.1","12600"
"27","0xa97c73d3df12e39499ba3d5af2b084fee0ab9e57c84e43ee48a356475ad17361","0x696d746f6b656e","7.09","42540"
